# soak_growth seconds=240 sample_ms=1000 concurrency=16 cycle_ms=20
# replay_capacity=2097152 leak_bytes=0 mallinfo2=1
t_ms,cycles,fails,rss_kb,rss_anon_kb,rss_file_kb,rss_anon_huge_kb,fds,timers,sessions,proxy_sessions,proxy_streams,uordblks,hblkhd,arena,up_accepts,up_closes,up_short
101004,4609,0,88380,82220,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4609,4593,0
102009,4655,0,88380,82220,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4655,4639,0
103017,4701,0,88384,82224,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4701,4685,0
104001,4746,0,88388,82228,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4746,4730,0
105018,4791,0,88392,82232,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4791,4775,0
106009,4836,0,88400,82240,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4836,4820,0
107002,4882,0,88400,82240,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4882,4866,0
108019,4929,0,88404,82244,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4929,4913,0
109020,4975,0,88408,82248,6160,79872,76,33,16,16,16,13437616,84115456,13578240,4975,4959,0
110000,5020,0,88416,82256,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5020,5004,0
111007,5065,0,88416,82256,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5065,5049,0
112013,5111,0,88416,82256,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5111,5095,0
113011,5156,0,88416,82256,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5156,5140,0
114009,5202,0,88416,82256,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5202,5186,0
115010,5248,0,88424,82264,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5248,5232,0
116015,5294,0,88424,82264,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5294,5278,0
117015,5339,0,88424,82264,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5339,5323,0
118012,5384,0,88424,82264,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5384,5368,0
119012,5429,0,88428,82268,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5429,5413,0
120016,5475,0,88432,82272,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5475,5459,0
121020,5521,0,88448,82288,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5521,5505,0
122019,5566,0,88452,82292,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5566,5550,0
123010,5611,0,88460,82300,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5611,5595,0
124005,5657,0,88464,82304,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5657,5641,0
125003,5703,0,88472,82312,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5703,5687,0
126006,5749,0,88476,82316,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5749,5733,0
127012,5795,0,88484,82324,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5795,5779,0
128018,5839,0,88492,82332,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5839,5823,0
129011,5883,0,88492,82332,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5883,5867,0
130005,5928,0,88496,82336,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5928,5912,0
131009,5974,0,88500,82340,6160,79872,76,33,16,16,16,13437616,84115456,13578240,5974,5958,0
132019,6019,0,88508,82348,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6019,6003,0
133018,6065,0,88520,82360,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6065,6049,0
134002,6109,0,88524,82364,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6109,6093,0
135011,6154,0,88528,82368,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6154,6138,0
136007,6200,0,88532,82372,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6200,6184,0
137017,6246,0,88536,82376,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6246,6230,0
138003,6291,0,88536,82376,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6291,6275,0
139013,6337,0,88544,82384,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6337,6321,0
140007,6382,0,88544,82384,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6382,6366,0
141020,6428,0,88548,82388,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6428,6412,0
142002,6472,0,88548,82388,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6472,6456,0
143008,6518,0,88548,82388,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6518,6502,0
144003,6563,0,88556,82396,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6563,6547,0
145011,6609,0,88560,82400,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6609,6593,0
146005,6655,0,88560,82400,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6655,6639,0
147003,6701,0,88564,82404,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6701,6685,0
148019,6747,0,88572,82412,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6747,6731,0
149003,6792,0,88572,82412,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6792,6776,0
150004,6837,0,88572,82412,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6837,6821,0
151005,6883,0,88576,82416,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6883,6867,0
152013,6929,0,88576,82416,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6929,6913,0
153001,6974,0,88580,82420,6160,79872,76,33,16,16,16,13437616,84115456,13578240,6974,6958,0
154006,7019,0,88592,82432,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7019,7003,0
155022,7065,0,88596,82436,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7065,7049,0
156003,7110,0,88596,82436,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7110,7094,0
157017,7155,0,88596,82436,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7155,7139,0
158019,7200,0,88596,82436,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7200,7184,0
159008,7245,0,88596,82436,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7245,7229,0
160018,7291,0,88604,82444,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7291,7275,0
161008,7335,0,88604,82444,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7335,7319,0
162002,7380,0,88608,82448,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7380,7364,0
163021,7426,0,88620,82460,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7426,7410,0
164007,7469,0,88624,82464,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7469,7453,0
165004,7514,0,88632,82472,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7514,7498,0
166006,7560,0,88636,82476,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7560,7544,0
167011,7606,0,88636,82476,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7606,7590,0
168018,7652,0,88640,82480,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7652,7636,0
169000,7696,0,88644,82484,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7696,7680,0
170002,7742,0,88648,82488,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7742,7726,0
171008,7787,0,88648,82488,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7787,7771,0
172001,7832,0,88652,82492,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7832,7816,0
173005,7878,0,88660,82500,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7878,7862,0
174009,7924,0,88668,82508,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7924,7908,0
175018,7970,0,88676,82516,6160,79872,76,33,16,16,16,13437616,84115456,13578240,7970,7954,0
176010,8016,0,88676,82516,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8016,8000,0
177006,8061,0,88676,82516,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8061,8045,0
178012,8107,0,88676,82516,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8107,8091,0
179021,8153,0,88680,82520,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8153,8137,0
180020,8199,0,88680,82520,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8199,8183,0
181015,8245,0,88684,82524,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8245,8229,0
182019,8291,0,88700,82540,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8291,8275,0
183009,8336,0,88704,82544,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8336,8320,0
184018,8382,0,88712,82552,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8382,8366,0
185015,8428,0,88720,82560,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8428,8412,0
186015,8474,0,88724,82564,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8474,8458,0
187009,8518,0,88728,82568,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8518,8502,0
188020,8564,0,88732,82572,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8564,8548,0
189018,8610,0,88740,82580,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8610,8594,0
190003,8655,0,88740,82580,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8655,8639,0
191014,8701,0,88744,82584,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8701,8685,0
192008,8747,0,88752,82592,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8747,8731,0
193001,8792,0,88760,82600,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8792,8776,0
194005,8837,0,88764,82604,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8837,8821,0
195012,8883,0,88768,82608,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8883,8867,0
196016,8929,0,88776,82616,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8929,8913,0
197006,8974,0,88780,82620,6160,79872,76,33,16,16,16,13437616,84115456,13578240,8974,8958,0
198011,9020,0,88792,82632,6160,79872,76,33,16,16,16,13437616,84115456,13578240,9020,9004,0
199003,9066,0,88792,82632,6160,79872,76,33,16,16,16,13437616,84115456,13578240,9066,9050,0
200019,9113,0,88792,82632,6160,79872,76,33,16,16,16,13437616,84115456,13578240,9113,9097,0
201005,9158,0,98416,92256,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9158,9142,0
202021,9204,0,98416,92256,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9204,9188,0
203002,9249,0,98416,92256,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9249,9233,0
204020,9296,0,98416,92256,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9296,9280,0
205020,9342,0,98416,92256,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9342,9326,0
206021,9388,0,98416,92256,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9388,9372,0
207001,9434,0,98424,92264,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9434,9418,0
208008,9480,0,98424,92264,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9480,9464,0
209000,9526,0,98424,92264,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9526,9510,0
210020,9572,0,98428,92268,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9572,9556,0
211017,9618,0,98436,92276,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9618,9602,0
212000,9663,0,98440,92280,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9663,9647,0
213013,9710,0,98444,92284,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9710,9694,0
214018,9756,0,98444,92284,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9756,9740,0
215007,9801,0,98448,92288,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9801,9785,0
216004,9847,0,98452,92292,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9847,9831,0
217021,9894,0,98456,92296,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9894,9878,0
218009,9940,0,98456,92296,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9940,9924,0
219005,9986,0,98460,92300,6160,90112,76,33,16,16,16,13437616,84115456,13578240,9986,9970,0
220018,10032,0,98464,92304,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10032,10016,0
221005,10075,0,98472,92312,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10075,10059,0
222006,10121,0,98472,92312,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10121,10105,0
223001,10166,0,98480,92320,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10166,10150,0
224005,10212,0,98480,92320,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10212,10196,0
225006,10258,0,98480,92320,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10258,10242,0
226021,10304,0,98480,92320,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10304,10288,0
227002,10349,0,98480,92320,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10349,10333,0
228005,10395,0,98484,92324,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10395,10379,0
229002,10441,0,98488,92328,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10441,10425,0
230004,10487,0,98488,92328,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10487,10471,0
231016,10533,0,98492,92332,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10533,10517,0
232013,10578,0,98492,92332,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10578,10562,0
233008,10624,0,98492,92332,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10624,10608,0
234007,10669,0,98492,92332,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10669,10653,0
235010,10715,0,98496,92336,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10715,10699,0
236016,10761,0,98496,92336,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10761,10745,0
237010,10807,0,98500,92340,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10807,10791,0
238014,10853,0,98504,92344,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10853,10837,0
239021,10899,0,98508,92348,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10899,10883,0
240016,10944,0,98516,92356,6160,90112,76,33,16,16,16,13437616,84115456,13578240,10944,10928,0
