# soak_growth seconds=240 sample_ms=1000 concurrency=16 cycle_ms=20
# replay_capacity=4096 leak_bytes=64 mallinfo2=1
t_ms,cycles,fails,rss_kb,rss_anon_kb,rss_file_kb,rss_anon_huge_kb,fds,timers,sessions,proxy_sessions,proxy_streams,uordblks,hblkhd,arena,up_accepts,up_closes,up_short
73020,2925,0,11100,5292,5808,0,76,33,16,16,16,13709456,393216,13893632,2925,2909,0
74001,2964,0,11104,5296,5808,0,76,33,16,16,16,13713296,393216,13893632,2964,2948,0
75006,3004,0,11104,5296,5808,0,76,33,16,16,16,13717136,393216,13893632,3004,2988,0
76007,3044,0,11128,5320,5808,0,76,33,16,16,16,13720976,393216,13893632,3044,3028,0
77018,3085,0,11176,5368,5808,0,76,33,16,16,16,13724912,393216,13893632,3085,3069,0
78023,3125,0,11184,5376,5808,0,76,33,16,16,16,13728752,393216,13893632,3125,3109,0
79022,3165,0,11184,5376,5808,0,76,33,16,16,16,13732592,393216,13893632,3165,3149,0
80008,3204,0,11212,5404,5808,0,76,33,16,16,16,13736336,393216,13893632,3204,3188,0
81024,3244,0,11224,5416,5808,0,76,33,16,16,16,13740176,393216,13893632,3244,3228,0
82021,3284,0,11224,5416,5808,0,76,33,16,16,16,13744016,393216,13893632,3284,3268,0
83013,3323,0,11228,5420,5808,0,76,33,16,16,16,13748048,393216,13893632,3323,3307,0
84000,3362,0,11244,5436,5808,0,76,33,16,16,16,13751792,393216,13893632,3362,3346,0
85002,3402,0,18392,12584,5808,10240,76,33,16,16,16,13755632,393216,13893632,3402,3386,0
86004,3442,0,18392,12584,5808,10240,76,33,16,16,16,13759472,393216,13893632,3442,3426,0
87000,3482,0,18400,12592,5808,10240,76,33,16,16,16,13763312,393216,13893632,3482,3466,0
88012,3522,0,18436,12628,5808,10240,76,33,16,16,16,13767152,393216,13893632,3522,3506,0
89005,3562,0,18436,12628,5808,10240,76,33,16,16,16,13770992,393216,13893632,3562,3546,0
90015,3602,0,18436,12628,5808,10240,76,33,16,16,16,13774832,393216,13893632,3602,3586,0
91017,3643,0,18436,12628,5808,10240,76,33,16,16,16,13778768,393216,14057472,3643,3627,0
92036,3683,0,18444,12636,5808,10240,76,33,16,16,16,13782608,393216,14057472,3683,3667,0
93018,3723,0,18444,12636,5808,10240,76,33,16,16,16,13786448,393216,14057472,3723,3707,0
94018,3761,0,18444,12636,5808,10240,76,33,16,16,16,13790096,393216,14057472,3761,3745,0
95102,3802,0,19804,13996,5808,12288,76,33,16,16,16,13794032,393216,14057472,3802,3786,0
96004,3839,0,19804,13996,5808,12288,76,33,16,16,16,13797584,393216,14057472,3839,3823,0
97008,3879,0,19812,14004,5808,12288,76,33,16,16,16,13801328,393216,14057472,3879,3863,0
98001,3919,0,19816,14008,5808,12288,76,33,16,16,16,13805184,393216,14057472,3919,3903,0
99008,3961,0,19856,14048,5808,12288,76,33,16,16,16,13809248,393216,14057472,3961,3945,0
100013,4001,0,19860,14052,5808,12288,76,33,16,16,16,13813088,393216,14057472,4001,3985,0
101015,4041,0,19860,14052,5808,12288,76,33,16,16,16,13816928,393216,14057472,4041,4025,0
102008,4081,0,19868,14060,5808,12288,76,33,16,16,16,13820784,393216,14057472,4081,4065,0
103001,4121,0,19872,14064,5808,12288,76,33,16,16,16,13824912,393216,14057472,4121,4105,0
104035,4161,0,19872,14064,5808,12288,76,33,16,16,16,13829216,393216,14057472,4161,4145,0
105008,4198,0,19872,14064,5808,12288,76,33,16,16,16,13832768,393216,14057472,4198,4182,0
106008,4238,0,19888,14080,5808,12288,76,33,16,16,16,13836704,393216,14057472,4238,4222,0
107013,4279,0,19892,14084,5808,12288,76,33,16,16,16,13840640,393216,14057472,4279,4263,0
108002,4317,0,19892,14084,5808,12288,76,33,16,16,16,13844288,393216,14057472,4317,4301,0
109006,4357,0,19896,14088,5808,12288,76,33,16,16,16,13848128,393216,14057472,4357,4341,0
110016,4398,0,19900,14092,5808,12288,76,33,16,16,16,13852064,393216,14057472,4398,4382,0
111020,4438,0,19900,14092,5808,12288,76,33,16,16,16,13855904,393216,14057472,4438,4422,0
112021,4478,0,19904,14096,5808,12288,76,33,16,16,16,13859744,393216,14057472,4478,4462,0
113007,4517,0,19904,14096,5808,12288,76,33,16,16,16,13863456,393216,14057472,4517,4501,0
114007,4556,0,19908,14100,5808,12288,76,33,16,16,16,13867200,393216,14057472,4556,4540,0
115024,4597,0,19908,14100,5808,12288,76,33,16,16,16,13871136,393216,14057472,4597,4581,0
116006,4636,0,19912,14104,5808,12288,76,33,16,16,16,13874800,393216,14057472,4636,4620,0
117002,4676,0,19916,14108,5808,12288,76,33,16,16,16,13878448,393216,14057472,4676,4660,0
118006,4716,0,19916,14108,5808,12288,76,33,16,16,16,13882192,393216,14057472,4716,4700,0
119021,4757,0,19920,14112,5808,12288,76,33,16,16,16,13886416,393216,14057472,4757,4741,0
120022,4797,0,19924,14116,5808,12288,76,33,16,16,16,13890352,393216,14057472,4797,4781,0
121021,4837,0,19928,14120,5808,12288,76,33,16,16,16,13894192,393216,14057472,4837,4821,0
122022,4877,0,19928,14120,5808,12288,76,33,16,16,16,13897936,393216,14057472,4877,4861,0
123016,4917,0,19932,14124,5808,12288,76,33,16,16,16,13901792,393216,14213120,4917,4901,0
124019,4957,0,19936,14128,5808,12288,76,33,16,16,16,13905632,393216,14213120,4957,4941,0
125023,4997,0,19936,14128,5808,12288,76,33,16,16,16,13909472,393216,14213120,4997,4981,0
126001,5036,0,19936,14128,5808,12288,76,33,16,16,16,13913216,393216,14213120,5036,5020,0
127021,5077,0,19936,14128,5808,12288,76,33,16,16,16,13917248,393216,14213120,5077,5061,0
128019,5117,0,19936,14128,5808,12288,76,33,16,16,16,13921088,393216,14213120,5117,5101,0
129011,5157,0,19936,14128,5808,12288,76,33,16,16,16,13924944,393216,14213120,5157,5141,0
130016,5197,0,19940,14132,5808,12288,76,33,16,16,16,13929056,393216,14213120,5197,5181,0
131005,5236,0,19940,14132,5808,12288,76,33,16,16,16,13932800,393216,14213120,5236,5220,0
132008,5276,0,19940,14132,5808,12288,76,33,16,16,16,13936640,393216,14213120,5276,5260,0
133017,5316,0,19940,14132,5808,12288,76,33,16,16,16,13940576,393216,14213120,5316,5300,0
134013,5356,0,19940,14132,5808,12288,76,33,16,16,16,13944416,393216,14213120,5356,5340,0
135019,5396,0,19940,14132,5808,12288,76,33,16,16,16,13948256,393216,14213120,5396,5380,0
136000,5435,0,19940,14132,5808,12288,76,33,16,16,16,13952000,393216,14213120,5435,5419,0
137009,5476,0,19948,14140,5808,12288,76,33,16,16,16,13955936,393216,14213120,5476,5460,0
