# soak_growth seconds=240 sample_ms=1000 concurrency=16 cycle_ms=20
# replay_capacity=4096 leak_bytes=64 mallinfo2=1
t_ms,cycles,fails,rss_kb,rss_anon_kb,rss_file_kb,rss_anon_huge_kb,fds,timers,sessions,proxy_sessions,proxy_streams,uordblks,hblkhd,arena,up_accepts,up_closes,up_short
137015,6244,0,11956,5664,6292,0,76,33,16,16,16,14038768,393216,14331904,6244,6228,0
138001,6289,0,11960,5668,6292,0,76,33,16,16,16,14043088,393216,14331904,6289,6273,0
139013,6335,0,11968,5676,6292,0,76,33,16,16,16,14047616,393216,14331904,6335,6319,0
140004,6380,0,11984,5692,6292,0,76,33,16,16,16,14051840,393216,14331904,6380,6364,0
141020,6426,0,11988,5696,6292,0,76,33,16,16,16,14056256,393216,14331904,6426,6410,0
142005,6470,0,12004,5712,6292,0,76,33,16,16,16,14060480,393216,14331904,6470,6454,0
143014,6516,0,12016,5724,6292,0,76,33,16,16,16,14064896,393216,14331904,6516,6500,0
144019,6562,0,12024,5732,6292,0,76,33,16,16,16,14069408,393216,14331904,6562,6546,0
145008,6607,0,12024,5732,6292,0,76,33,16,16,16,14073632,393216,14331904,6607,6591,0
146008,6653,0,12028,5736,6292,0,76,33,16,16,16,14078048,393216,14331904,6653,6637,0
147011,6698,0,12028,5736,6292,0,76,33,16,16,16,14082368,393216,14331904,6698,6682,0
148015,6744,0,12028,5736,6292,0,76,33,16,16,16,14086784,393216,14331904,6744,6728,0
149002,6789,0,12028,5736,6292,0,76,33,16,16,16,14091104,393216,14331904,6789,6773,0
150008,6834,0,12032,5740,6292,0,76,33,16,16,16,14095424,393216,14331904,6834,6818,0
151011,6880,0,12032,5740,6292,0,76,33,16,16,16,14099936,393216,14331904,6880,6864,0
152014,6925,0,12068,5776,6292,0,76,33,16,16,16,14104256,393216,14331904,6925,6909,0
153001,6970,0,12076,5784,6292,0,76,33,16,16,16,14108672,393216,14331904,6970,6954,0
154011,7015,0,12080,5788,6292,0,76,33,16,16,16,14112992,393216,14331904,7015,6999,0
155017,7061,0,12084,5792,6292,0,76,33,16,16,16,14117408,393216,14331904,7061,7045,0
156003,7106,0,12096,5804,6292,0,76,33,16,16,16,14121728,393216,14331904,7106,7090,0
157007,7152,0,12100,5808,6292,0,76,33,16,16,16,14126144,393216,14331904,7152,7136,0
158004,7198,0,12120,5828,6292,0,76,33,16,16,16,14130560,393216,14479360,7198,7182,0
159014,7244,0,12128,5836,6292,0,76,33,16,16,16,14134976,393216,14479360,7244,7228,0
160018,7290,0,12128,5836,6292,0,76,33,16,16,16,14139504,393216,14479360,7290,7274,0
161005,7334,0,12144,5852,6292,0,76,33,16,16,16,14144000,393216,14479360,7334,7318,0
162010,7380,0,12164,5872,6292,0,76,33,16,16,16,14148416,393216,14479360,7380,7364,0
